uid,Velocity_3mon_ClkNum_per_uid,Velocity_3mon_pid_per_uid,Velocity_3mon_pidParam_per_uid,Velocity_LtoN_intervalPerClk_per_uid,Velocity_3mon_uMax_upid_per_uid,Velocity_3mon_Max_pid_per_uid,Velocity_3mon_uMax_upidParam_per_uid,Velocity_3mon_Max_pidParam_per_uid,Velocity_EtoNavg_intervalPerClk_per_uid
65,35,4,7,70,0.6,0.0871,0.4286,0.0077,105.4571
66,85,9,17,30,0.5647,0.0658,0.2941,0.0129,81.8706
67,174,8,17,34,0.6034,0.144,0.3563,0.032,70.8678
68,73,7,13,43,0.4521,0.0453,0.4521,0.017,81.7945
69,10,2,6,67,0.6,0.021,0.5,0.0293,85.3
70,63,5,8,32,0.5397,0.0466,0.3968,0.0129,88.9365
71,273,7,22,31,0.7216,0.2701,0.1978,0.0278,70.2821
72,298,8,20,30,0.5034,0.2057,0.3322,0.051,74.2886
73,408,9,18,32,0.4534,0.2537,0.3676,0.0773,83.9902
74,93,6,6,48,0.7312,0.3205,0.4731,0.0227,91.0645
75,39,7,13,36,0.4359,0.0233,0.3077,0.0062,64.2821
77,114,8,13,34,0.3947,0.0617,0.4211,0.0247,77.5263
78,5,1,3,64,1,0.0012,0.6,0.0016,64
79,126,6,12,30,0.5317,0.278,0.2619,0.017,63.9841
80,290,6,13,30,0.4862,0.1934,0.4172,0.0624,79.2069
81,214,8,17,31,0.7523,0.2208,0.4065,0.0448,75.9065
82,439,9,19,34,0.4692,0.2825,0.2073,0.0469,74.1458
83,125,6,21,38,0.52,0.0891,0.12,0.0077,90
84,7,1,2,34,1,0.0017,0.7143,0.0027,65.5714
85,26,3,4,43,0.7308,0.0895,0.5,0.0067,87
86,40,4,12,30,0.55,0.0302,0.475,0.0098,62.4
87,216,9,17,36,0.5093,0.1508,0.3056,0.034,75.8009
89,245,8,12,31,0.6694,0.6804,0.6449,0.0814,73.3796
90,1,1,1,113,1,0.0002,1,0.0015,113
91,43,5,12,31,0.4884,0.0886,0.2326,0.0052,66.9535
92,59,3,4,31,0.7966,0.0299,0.4576,0.0139,79.1864
93,727,10,24,31,0.26,0.2592,0.3274,0.1227,77.6988
94,15,1,5,71,1,0.0036,0.6667,0.0055,95.0667
95,74,5,7,30,0.9054,0.278,0.7838,0.0299,83.1622
96,57,4,7,33,0.6667,0.1791,0.5088,0.0149,97.5088
97,66,4,11,33,0.6061,0.0549,0.2424,0.0082,84.9242
98,551,9,27,30,0.6225,0.4704,0.2432,0.0691,78.6134
99,332,8,13,30,0.2922,0.4092,0.4849,0.083,83.1416
101,17,5,11,91,0.5882,0.0137,0.2353,0.0021,94.2941
102,23,4,9,63,0.3913,0.0424,0.3043,0.0036,88.8696
103,143,6,15,33,0.7273,0.4387,0.3566,0.0263,81.4336
104,47,7,9,36,0.5319,0.0343,0.4681,0.0113,58.2979
106,27,5,7,50,0.5185,0.066,0.4074,0.0057,85.037
107,90,4,6,35,0.4889,0.1681,0.3889,0.018,74.9222
108,277,9,18,33,0.7906,0.3003,0.5379,0.0768,85.8231
109,21,5,10,35,0.8095,0.0717,0.4762,0.0052,68.1429
110,541,9,22,30,0.5804,0.4306,0.2939,0.0819,83.5416
111,1384,7,34,41,0.8042,1.5262,0.2522,0.1799,87.0065
112,7,2,4,85,0.8571,0.0249,0.2857,0.022,87.1429
113,70,3,8,32,0.8571,0.158,0.7,0.0253,66.3429
115,7,2,3,73,0.8571,0.021,0.5714,0.0553,89.7143
116,115,2,6,33,0.887,0.0649,0.6696,0.0397,78.0957
117,98,8,16,35,0.3673,0.0494,0.4286,0.0216,70.2857
118,25,3,6,30,0.84,0.0553,0.64,0.0082,63.6
119,91,6,11,30,0.6044,0.0754,0.6044,0.0283,73.4066
121,48,2,7,32,0.5208,0.0159,0.5208,0.0129,76.8958
122,93,5,10,35,0.3871,0.1519,0.4301,0.0206,73.5376
123,39,5,7,39,0.4615,0.0247,0.4359,0.0088,72.1538
124,98,5,9,30,0.5204,0.2151,0.3878,0.0196,78.2245
125,59,6,9,51,0.5932,0.1452,0.2881,0.0088,91.4576
126,76,7,14,30,0.5658,0.059,0.3421,0.0134,62.2632
127,52,5,9,36,0.6154,0.0439,0.5577,0.0149,55.1154
128,279,8,16,31,0.7527,0.288,0.3728,0.0536,77.2258
129,103,9,14,30,0.5631,0.0795,0.3398,0.018,56.301
132,19,4,6,42,0.7895,0.0707,0.5789,0.0057,79.8947
133,33,6,10,35,0.697,0.1084,0.303,0.0052,48.2424
134,60,5,13,39,0.3833,0.0954,0.2333,0.0072,60.2833
138,64,9,17,38,0.4531,0.0398,0.1719,0.0057,70.2969
139,240,6,11,34,0.4792,0.542,0.4875,0.0603,80.7125
140,57,7,13,36,0.3509,0.0274,0.4561,0.0134,92.5789
141,4,1,1,56,1,0.001,1,0.0022,62.5
142,25,4,5,50,0.68,0.0705,0.6,0.0077,89.76
143,206,8,27,30,0.4951,0.1399,0.1311,0.0139,79.5971
144,202,7,15,30,0.495,0.1371,0.3911,0.0407,85.3614
145,355,8,17,30,0.5127,0.2496,0.4056,0.0742,79.7211
146,8,3,5,50,0.5,0.0189,0.25,0.001,84.375
147,61,5,8,34,0.918,0.2139,0.3443,0.0108,75.4262
148,36,4,8,43,0.5,0.0759,0.4167,0.0077,72.6944
149,7,3,5,43,0.5714,0.014,0.2857,0.001,43
150,393,7,25,30,0.4962,0.2674,0.2824,0.0572,80.3384
152,3,2,3,47,0.6667,0.007,0.3333,0.0036,47
153,104,6,6,32,0.6154,0.0878,0.3462,0.0186,79.2788
154,98,6,9,36,0.7959,0.3236,0.3878,0.0196,82.1735
155,43,7,12,38,0.2558,0.0151,0.2326,0.0052,88.3488
157,56,6,13,41,0.3929,0.0302,0.3571,0.0103,78.3929
158,187,7,27,33,0.6791,0.1742,0.1925,0.0186,60.9626
159,81,5,8,30,0.6049,0.0672,0.2963,0.0124,85.1358
160,34,5,9,49,0.4706,0.0219,0.3824,0.0067,82.7353
162,122,9,17,35,0.3852,0.0645,0.3443,0.0216,73.2213
163,46,7,10,40,0.2826,0.0548,0.4348,0.0103,69.413
164,57,6,11,33,0.4561,0.0357,0.3333,0.0098,87.8947
165,5,2,3,119,0.8,0.014,0.4,0.001,119
166,281,10,17,30,0.5053,0.1947,0.2064,0.0299,76.7473
167,141,8,21,34,0.4823,0.0932,0.2057,0.0149,89.9078
168,272,9,24,40,0.4706,0.1755,0.1728,0.0242,93.2684
171,47,3,6,36,0.9362,0.1158,0.4681,0.0113,71.3617
172,8,4,4,60,0.5,0.0189,0.375,0.0015,77.625
173,114,8,14,34,0.4561,0.0713,0.4123,0.0242,80.0175
174,71,6,15,35,0.6338,0.0617,0.2254,0.0082,70.5634
175,149,9,21,31,0.3826,0.0782,0.2215,0.017,57.651
176,58,4,6,32,0.7414,0.1814,0.3966,0.0119,72.4655
177,216,8,15,36,0.537,0.1591,0.2593,0.0289,90.7454
178,196,4,7,30,0.9745,0.9002,0.449,0.0454,76.7551
179,61,7,9,36,0.6066,0.0507,0.4918,0.0155,66.6066
180,53,6,12,35,0.566,0.1414,0.434,0.0119,73.8113
181,22,5,9,50,0.3636,0.0337,0.2727,0.0031,96.0909
182,141,4,6,32,0.773,0.5137,0.617,0.0448,84.5177
183,63,4,6,31,0.8095,0.1343,0.4127,0.0134,71.5238
184,27,5,9,37,0.5556,0.0206,0.3333,0.0046,63.2593
185,76,6,9,36,0.4474,0.1434,0.4079,0.016,80.7632
186,45,3,4,36,0.9556,0.1784,0.7333,0.017,85.1778
187,72,5,12,39,0.6111,0.2074,0.2222,0.0082,80.0139
188,47,7,10,35,0.6383,0.0411,0.3617,0.0088,72.2128
189,6,2,2,37,0.6667,0.014,0.8333,0.0026,37
190,53,7,14,33,0.5094,0.1139,0.2642,0.0072,79.3774
191,20,4,7,84,0.5,0.0263,0.35,0.0036,104.35
193,28,2,4,34,0.9643,0.0778,0.7143,0.0103,84.5714
194,208,9,19,30,0.6923,0.1975,0.2837,0.0304,73.3173
196,47,2,3,34,0.6809,0.0204,0.6809,0.0165,83.0426
197,10,3,3,85,0.5,0.0236,0.5,0.0026,100.4
198,46,4,9,33,0.5217,0.084,0.3261,0.0077,80.8696
199,29,3,7,40,0.5862,0.0595,0.5172,0.0077,85.8966
200,151,10,19,30,0.2185,0.0453,0.2781,0.0216,80.5232
201,131,4,8,34,0.5344,0.096,0.5344,0.0361,77.8626
202,36,4,12,31,0.6111,0.1037,0.3889,0.0072,84.5278
203,41,3,6,43,0.6098,0.1055,0.561,0.0119,77.3902
204,48,4,9,36,0.8333,0.1687,0.4167,0.0103,70
205,334,7,16,31,0.8054,1.116,0.4581,0.0788,75.3383
206,106,6,9,33,0.7736,0.3133,0.3868,0.0211,80
207,75,3,5,36,0.8933,0.256,0.52,0.0201,73.68
208,629,7,29,36,0.539,0.4649,0.1717,0.0557,90.8124
209,24,5,10,45,0.4167,0.0137,0.3333,0.0041,71.5417
210,15,2,3,34,0.9333,0.0404,0.8667,0.0067,72.0667
211,20,5,10,58,0.4,0.0306,0.2,0.0021,78.55
213,29,2,4,32,0.9655,0.0737,0.8966,0.0134,80.7931
215,270,9,18,30,0.4741,0.1755,0.2926,0.0407,92.7259
216,38,7,10,33,0.4474,0.0233,0.4211,0.0082,70.9737
217,12,2,4,47,0.75,0.0259,0.3333,0.0021,89.5833
219,227,5,11,35,0.5727,0.5393,0.2952,0.0345,77.022
220,4,3,3,44,0.5,0.0053,0.5,0.001,81.75
221,26,2,3,43,0.7692,0.0127,0.7308,0.0098,92.2308
222,1,1,1,68,1,0.0041,1,0.0161,68
224,10,4,5,80,0.5,0.0069,0.4,0.0021,93.6
225,83,6,9,30,0.5663,0.2215,0.6506,0.0278,78.1325
227,3,1,1,99,1,0.0019,1,0.0015,99
228,25,4,7,32,0.4,0.035,0.36,0.0046,82.08
229,61,4,9,36,0.918,0.2362,0.5902,0.0186,70.1639
230,56,6,7,30,0.5179,0.1367,0.4464,0.0129,72.6429
231,23,7,8,60,0.4348,0.0422,0.3043,0.0036,85
232,33,5,6,48,0.7879,0.1079,0.3636,0.0062,61.5152
233,70,5,11,30,0.7286,0.0699,0.3286,0.0119,68.2571
234,84,4,10,30,0.7857,0.2784,0.5,0.0216,67.9405
235,109,8,11,30,0.8532,0.3923,0.5138,0.0289,73.2294
236,48,4,6,40,0.75,0.1494,0.6667,0.0165,77.6875
237,383,9,30,35,0.6345,0.3332,0.2115,0.0417,72.6867
238,115,6,17,34,0.6609,0.1042,0.287,0.017,85.1391
239,225,6,14,31,0.5022,0.4767,0.4178,0.0484,80.5689
241,5,3,5,71,0.6,0.0115,0.2,0.0005,84.6
242,13,2,3,65,0.9231,0.042,0.7692,0.1721,88.2308
243,6,1,3,50,1,0.0015,0.5,0.0016,99.5
244,13,1,3,48,1,0.0031,0.4615,0.0033,58.4615
245,26,4,6,39,0.7308,0.0801,0.6538,0.0088,67.0385
246,5,1,2,49,1,0.0012,0.8,0.0022,61.4
247,82,6,13,31,0.378,0.1286,0.3415,0.0144,71.2317
248,52,9,13,32,0.3846,0.0274,0.4231,0.0113,73.6154
249,90,7,14,35,0.6111,0.0754,0.3222,0.0149,70.2
251,208,6,18,43,0.8606,0.2455,0.2548,0.0273,77.5385
252,8,3,4,46,0.5,0.0189,0.625,0.0026,69
253,294,10,22,34,0.3844,0.155,0.381,0.0577,81.034
254,7,4,6,64,0.4286,0.0127,0.2857,0.001,68.7143
255,174,7,16,30,0.6782,0.1618,0.3736,0.0335,66.023
256,20,3,7,59,0.5,0.035,0.25,0.0026,93.9
257,13,4,6,31,0.4615,0.0253,0.3077,0.0021,50.6154
258,25,3,4,34,0.88,0.0841,0.68,0.0088,67.6
259,11,1,3,41,1,0.0027,0.8182,0.0049,71.4545
261,30,5,5,38,0.4667,0.0192,0.3,0.0046,80.7667
262,96,7,15,33,0.5729,0.0754,0.3646,0.018,78.0104
263,142,8,17,32,0.3592,0.2151,0.2394,0.0175,58.0704
264,30,4,10,35,0.4667,0.066,0.2667,0.0041,76.7667
266,23,4,8,64,0.6522,0.0573,0.3043,0.0036,86.6087
269,138,10,18,32,0.2826,0.0535,0.4348,0.0309,78.9928
270,24,5,9,49,0.3333,0.0306,0.375,0.0046,97.0417
272,57,8,11,47,0.4737,0.037,0.2632,0.0077,99.9649
274,83,6,9,30,0.5783,0.0658,0.2892,0.0124,65.9759
276,60,6,12,43,0.6,0.1519,0.5167,0.016,70.1167
277,63,5,11,31,0.6667,0.1772,0.254,0.0082,65.7619
278,233,5,9,34,0.618,0.6074,0.3906,0.0469,83.5451
279,40,5,10,33,0.375,0.0633,0.375,0.0077,71.9
280,211,9,18,34,0.4882,0.1412,0.3365,0.0366,72.2749
281,33,5,10,57,0.4242,0.0581,0.3939,0.0067,79.303
282,23,4,7,43,0.3913,0.0315,0.4348,0.0052,70.6957
283,73,7,16,31,0.726,0.0727,0.4247,0.016,63.6027
284,48,2,4,31,0.9375,0.1297,0.8333,0.0206,79.5625
285,82,8,13,48,0.4756,0.1645,0.5366,0.0227,83.4512
286,173,7,14,34,0.7168,0.5231,0.2601,0.0232,88.7977
287,115,8,12,30,0.3652,0.1772,0.3652,0.0216,58.5043
288,22,3,5,47,0.5455,0.0076,0.5455,0.0062,70.5455
289,38,7,12,39,0.5789,0.0913,0.4737,0.0093,80.1842
290,43,5,9,73,0.5581,0.0329,0.2791,0.0062,73
292,41,6,9,40,0.6585,0.037,0.3415,0.0072,84.561
293,6,1,2,59,1,0.0015,0.8333,0.0027,68.5
294,158,8,23,35,0.7089,0.1536,0.2089,0.017,84.8101
295,68,8,14,30,0.3529,0.1012,0.5147,0.018,74.3382
296,26,3,3,70,0.8077,0.099,0.4231,0.0057,90.6154
297,214,8,17,30,0.5421,0.1591,0.2477,0.0273,77.5
298,36,4,10,35,0.5278,0.0726,0.3889,0.0072,88.3056
299,29,5,6,48,0.5517,0.0611,0.3448,0.0052,73.7586
303,43,6,10,33,0.7674,0.1392,0.3023,0.0067,71.6047
304,89,8,15,32,0.4719,0.0576,0.4719,0.0216,90.0225
305,85,8,12,30,0.3882,0.1392,0.3647,0.016,61.7647
306,79,8,18,73,0.3165,0.0343,0.2911,0.0119,99.3797
307,50,6,15,31,0.42,0.0288,0.16,0.0041,73.76
308,201,8,16,30,0.592,0.1632,0.2488,0.0258,71.1891
309,52,7,11,40,0.4615,0.1012,0.25,0.0067,86
311,3,1,1,77,1,0.0007,1,0.0016,81.3333
312,48,5,9,36,0.8958,0.1814,0.4375,0.0108,79.8958
313,151,7,23,32,0.457,0.0946,0.1656,0.0129,82
314,87,9,14,31,0.3103,0.037,0.3218,0.0144,62.5747
315,22,7,10,47,0.3182,0.029,0.4091,0.0046,81.2727
316,100,10,13,30,0.49,0.0672,0.51,0.0263,77.52
317,364,7,13,31,0.761,0.3798,0.4863,0.0912,68.4231
318,60,7,9,31,0.65,0.1645,0.3833,0.0119,79.7667
319,9,2,5,111,0.5556,0.0175,0.3333,0.0415,111
321,52,7,13,31,0.4423,0.0315,0.25,0.0067,44.8654
322,41,3,7,34,0.5854,0.0153,0.6098,0.0129,70.7317
323,60,3,7,31,0.9167,0.0754,0.8333,0.0258,94.9833
324,253,7,17,32,0.332,0.3485,0.4625,0.0603,67.9249
325,36,3,8,34,0.75,0.1139,0.4167,0.0077,76.3056
326,29,7,8,54,0.3448,0.0471,0.4138,0.0062,104.1034
327,15,2,3,33,0.8,0.0076,0.6667,0.0052,52.1333
329,41,6,8,40,0.6098,0.0343,0.6098,0.0129,93.3415
330,28,4,10,77,0.4643,0.0497,0.2857,0.0041,85.9643
331,47,9,12,36,0.4043,0.0801,0.4255,0.0103,77.0638
332,29,6,9,36,0.6897,0.0274,0.2414,0.0036,89.4483
334,172,9,19,30,0.5698,0.1344,0.2616,0.0232,80.1802
335,51,2,6,39,0.9804,0.1316,0.4706,0.0124,81.549
336,13,3,5,34,0.6923,0.0237,0.6154,0.0041,61.6154
337,66,7,9,30,0.5,0.0453,0.4242,0.0144,86.1364
339,260,7,14,31,0.6346,0.2263,0.4808,0.0644,93.5654
341,27,7,10,74,0.3333,0.0123,0.2593,0.0036,74
342,1,1,1,99,1,0.0002,1,0.0005,99
343,2,1,1,84,1,0.0013,1,0.001,84
344,123,8,15,31,0.6585,0.1111,0.3577,0.0227,78.7317
346,56,4,7,38,0.6607,0.0974,0.4464,0.0129,90.9821
347,32,8,10,56,0.4688,0.0206,0.5625,0.0093,75.125
348,184,8,19,33,0.5761,0.4471,0.1957,0.0186,63.8641
350,736,6,28,30,0.8709,0.879,0.2541,0.0964,84.7242
352,50,7,14,42,0.32,0.0675,0.22,0.0057,85.36
353,114,8,14,30,0.307,0.048,0.2719,0.016,62.6316
354,71,4,5,36,0.9296,0.3111,0.5493,0.0201,89.3521
355,271,9,22,30,0.2731,0.1015,0.321,0.0448,67.7011
356,322,10,17,31,0.2764,0.122,0.3509,0.0582,61.7981
357,322,5,18,30,0.6087,0.2688,0.3851,0.0639,72.1056
358,118,6,12,35,0.6864,0.3818,0.6356,0.0387,81.8475
359,35,4,9,36,0.6286,0.0913,0.3429,0.0062,70.0857
360,40,5,7,31,0.4,0.0219,0.375,0.0077,69.05
361,349,9,25,30,0.3266,0.1563,0.3123,0.0562,63.0487
362,210,7,22,34,0.5333,0.1536,0.2381,0.0258,83.8143
363,90,7,14,31,0.5222,0.0645,0.2556,0.0119,74.5444
364,131,8,15,47,0.4809,0.0864,0.4962,0.0335,86.9695
365,155,6,15,35,0.5806,0.1234,0.3161,0.0253,72.1871
366,281,9,20,30,0.5089,0.1961,0.3096,0.0448,81.4591
367,144,7,14,38,0.4375,0.2614,0.4375,0.0325,80.4306
368,80,5,10,34,0.8625,0.2863,0.3875,0.016,64.9625
372,1,1,1,83,1,0.0047,1,0.0005,83
373,126,6,14,30,0.6746,0.1166,0.2857,0.0186,92
375,71,4,8,31,0.8028,0.2686,0.3521,0.0129,79.0141
376,28,5,11,33,0.3214,0.038,0.2143,0.0031,47.1786
378,30,7,11,35,0.3667,0.0464,0.2333,0.0036,67.0667
379,23,5,12,102,0.6087,0.066,0.1739,0.0021,102.087
380,88,8,14,34,0.5682,0.0686,0.2045,0.0093,79.9432
381,164,8,10,30,0.5671,0.3923,0.3841,0.0325,83.0122
382,1,1,1,48,1,0.0006,1,0.0005,48
383,79,6,9,31,0.519,0.0562,0.3671,0.0149,68.3418
384,100,6,11,37,0.61,0.2573,0.44,0.0227,73.52
385,75,5,8,30,0.9333,0.3299,0.5067,0.0196,83.6
387,212,5,12,30,0.5613,0.4937,0.3774,0.0412,76.8632
388,566,8,19,31,0.6731,0.5225,0.2968,0.0866,84.765
389,534,9,31,30,0.4663,0.3415,0.1723,0.0474,70.397
390,685,9,22,30,0.4569,0.4292,0.3007,0.1062,81.019
391,53,7,10,43,0.7358,0.1618,0.434,0.0119,80.283
392,114,5,14,38,0.8421,0.4049,0.2807,0.0165,80.4737
393,157,8,14,31,0.4713,0.1015,0.4713,0.0381,67.1592
394,15,4,5,76,0.4,0.0249,0.4,0.0031,78.8
397,8,1,3,68,1,0.0019,0.375,0.0257,69.875
398,85,4,5,36,0.8235,0.3299,0.5412,0.0237,74.6824
399,57,8,10,32,0.4912,0.0384,0.5088,0.0149,84.5439
400,16,5,8,51,0.375,0.0249,0.25,0.0021,91.25
402,37,6,10,34,0.4324,0.0219,0.2703,0.0052,55.7027
403,45,2,3,36,0.9333,0.0267,0.5333,0.0124,77.7778
404,416,9,16,30,0.7476,0.4265,0.262,0.0562,81.601
405,62,8,11,36,0.6774,0.0576,0.2742,0.0088,73.6613
406,64,7,10,38,0.5,0.0439,0.5313,0.0175,75.3906
408,17,5,10,50,0.4118,0.0295,0.2353,0.0021,95.3529
411,59,6,11,31,0.6271,0.0507,0.322,0.0098,84.2881
413,32,7,10,39,0.5313,0.0233,0.25,0.0041,92.6563
414,51,4,7,35,0.9216,0.1796,0.451,0.0119,81.5686
416,370,10,16,39,0.3541,0.1796,0.2459,0.0469,81.5568
417,66,5,12,32,0.5152,0.0466,0.3636,0.0124,77.3939
418,52,8,8,63,0.5769,0.0411,0.5769,0.0155,86.5
419,533,7,31,36,0.5253,0.384,0.2514,0.0691,64.1182
420,11,2,4,101,0.9091,0.0422,0.4545,0.0026,101
421,79,3,7,31,0.8734,0.2415,0.481,0.0196,70.1519
422,11,4,5,48,0.6364,0.0295,0.3636,0.0188,56.9091
423,65,4,11,31,0.7385,0.0658,0.2462,0.0082,80.7385
425,13,1,3,52,1,0.0031,0.5385,0.0038,78.5385
426,24,4,6,57,0.4583,0.0151,0.4583,0.0057,93.375
428,16,3,3,31,0.75,0.042,0.75,0.0062,82.375
429,17,6,10,50,0.2941,0.0211,0.2353,0.0021,88.9412
430,31,5,3,43,0.6452,0.0943,0.5161,0.0082,93.9032
431,31,3,6,32,0.8065,0.0955,0.4839,0.0077,56.4194
432,47,7,7,30,0.383,0.0759,0.383,0.0093,64.9362
433,34,6,8,48,0.6765,0.097,0.5,0.0088,94.6176
434,67,7,14,48,0.4776,0.0439,0.3284,0.0113,67.8507
435,52,7,14,32,0.5192,0.037,0.4231,0.0113,85.6346
436,101,7,10,31,0.4851,0.0672,0.396,0.0206,62.8614
437,40,3,5,34,0.95,0.1,0.375,0.0077,72.925
438,95,3,9,31,0.9053,0.3628,0.7368,0.0361,86.1158
439,152,8,19,51,0.3816,0.0795,0.3355,0.0263,91.4408
440,183,10,26,31,0.2842,0.0713,0.2896,0.0273,87.9781
441,54,7,12,39,0.5556,0.0411,0.3333,0.0093,83.463
443,22,4,7,57,0.5455,0.0566,0.3636,0.0041,95.5
444,172,5,8,31,0.7791,0.5119,0.564,0.05,73.6512
445,97,5,10,34,0.7629,0.1015,0.3814,0.0191,68.9381
446,12,5,3,100,0.4167,0.0236,0.5,0.0031,112.5833
447,119,6,14,37,0.563,0.0919,0.3445,0.0211,91.6639
449,118,5,11,31,0.6017,0.2946,0.5763,0.035,68.8983
450,26,7,9,101,0.4615,0.0165,0.2308,0.0031,109.9615
451,142,6,13,30,0.8099,0.1577,0.7254,0.0531,78.4014
452,37,7,10,51,0.4865,0.0247,0.2703,0.0052,88.027
454,50,7,12,35,0.5,0.1055,0.36,0.0093,92.7
455,498,10,29,30,0.4337,0.2962,0.1988,0.051,82.6767
456,16,6,14,36,0.3125,0.0069,0.125,0.001,55.75
457,149,8,17,34,0.443,0.0905,0.2617,0.0201,90.5235
458,420,6,17,33,0.7929,1.4046,0.2405,0.0521,72.3548
460,63,5,8,31,0.7778,0.2067,0.6508,0.0211,78.5238
461,93,5,8,36,0.7204,0.2826,0.3548,0.017,84.2473
462,142,8,16,43,0.4225,0.0823,0.2535,0.0186,81.3451
463,32,5,7,44,0.4688,0.0573,0.4063,0.0067,56.2813
464,66,4,7,33,0.7424,0.2309,0.6667,0.0227,81.5455
465,48,3,7,47,0.7917,0.0242,0.375,0.0093,99.0625
466,318,8,11,36,0.7358,0.987,0.3616,0.0593,91.6384
467,235,6,18,32,0.434,0.1399,0.183,0.0222,80.366
468,12,2,2,42,0.5833,0.0045,0.5833,0.0036,54.4167
469,557,9,24,30,0.5153,0.3936,0.237,0.068,87.8043
470,76,6,15,44,0.6184,0.0645,0.4605,0.018,70.0526
471,5,2,2,44,0.8,0.0105,0.8,0.0021,84.4
472,522,10,23,30,0.5747,0.4114,0.2126,0.0572,89.1437
473,15,2,5,40,0.9333,0.049,0.4,0.0281,53.5333
474,3,2,3,81,0.6667,0.007,0.3333,0.011,99.6667
475,4,1,2,114,1,0.001,0.75,0.0016,114
476,108,4,14,36,0.4907,0.0727,0.2593,0.0144,77.3611
477,306,7,17,30,0.8693,0.3648,0.6536,0.1031,80.9935
478,16,1,2,36,1,0.0039,0.9375,0.0082,74.0625
479,202,7,20,30,0.4505,0.1248,0.1832,0.0191,74.3317
480,81,4,7,36,0.6049,0.2309,0.5185,0.0216,75.8025
