uid,age,sex,limit,User_age_range,User_interdate
15093,35,1,6.153413772583008,3,260
24466,25,1,5.292153835296631,1,197
40446,35,1,6.292054653167725,3,223
7304,35,1,6.292054653167725,3,156
66292,30,1,5.292153835296631,2,258
6059,25,1,5.722768306732178,1,260
15556,30,1,5.292153835296631,2,307
25660,25,1,5.292153835296631,1,196
55435,30,2,6.153413772583008,2,162
45119,30,1,5.722768306732178,2,201
8735,25,1,5.292153835296631,1,229
9549,30,1,5.974677085876465,2,260
77425,30,1,6.153413772583008,2,339
90864,30,1,6.292054653167725,2,307
34309,30,1,5.292153835296631,2,165
29133,30,1,5.722768306732178,2,336
49416,30,2,5.722768306732178,2,302
229,35,1,6.292054653167725,3,216
56006,30,1,5.974677085876465,2,228
19246,30,1,6.292054653167725,2,224
47781,25,1,6.292054653167725,1,216
9711,25,1,5.292153835296631,1,189
9692,25,1,6.153413772583008,1,231
41022,30,2,5.292153835296631,2,244
44133,25,2,5.722768306732178,1,229
69143,25,1,5.292153835296631,1,164
60431,40,1,5.974677085876465,4,307
35329,20,1,5.292153835296631,1,189
21254,25,1,5.292153835296631,1,245
46781,45,1,6.292054653167725,4,194
69435,30,1,5.974677085876465,2,306
79111,35,1,5.722768306732178,3,336
45796,30,1,5.974677085876465,2,335
13441,45,1,6.153413772583008,4,307
14080,25,1,5.974677085876465,1,321
146,35,1,6.153413772583008,3,288
15955,30,2,5.974677085876465,2,231
15699,30,2,6.292054653167725,2,213
77931,35,2,6.292054653167725,3,197
63551,35,1,5.292153835296631,3,335
60929,30,1,5.974677085876465,2,224
29590,30,1,5.974677085876465,2,162
32152,35,1,5.974677085876465,3,353
35226,25,1,5.292153835296631,1,251
42025,30,1,5.292153835296631,2,246
28282,30,1,5.974677085876465,2,218
56302,35,1,6.153413772583008,3,249
44015,35,1,5.292153835296631,3,244
38820,30,1,6.153413772583008,2,192
66386,45,1,5.974677085876465,4,241
79977,40,1,6.153413772583008,4,307
25666,25,1,6.292054653167725,1,230
30839,25,2,5.974677085876465,1,304
69769,35,1,5.292153835296631,3,245
57462,35,1,5.292153835296631,3,307
36076,30,1,6.292054653167725,2,181
69281,30,1,6.153413772583008,2,155
6163,35,1,6.292054653167725,3,257
71365,25,2,6.292054653167725,1,189
50408,35,1,6.292054653167725,3,167
16253,30,1,6.153413772583008,2,257
14148,40,1,6.292054653167725,4,190
19804,25,1,5.722768306732178,1,170
23622,30,1,6.153413772583008,2,288
35882,35,2,5.722768306732178,3,218
50842,40,1,5.722768306732178,4,320
72992,35,1,6.292054653167725,3,229
19863,35,1,6.292054653167725,3,334
28849,35,2,5.292153835296631,3,288
7517,35,1,6.292054653167725,3,334
32157,35,1,6.292054653167725,3,166
10608,30,1,6.292054653167725,2,190
65931,40,1,5.974677085876465,4,306
35089,50,2,5.722768306732178,4,157
11305,30,1,6.292054653167725,2,224
82920,35,1,6.292054653167725,3,224
42083,40,1,5.722768306732178,4,287
15472,30,1,5.722768306732178,2,232
21426,45,2,6.292054653167725,4,219
50443,25,1,5.292153835296631,1,260
43461,35,2,5.974677085876465,3,224
77868,25,1,6.153413772583008,1,299
69023,35,1,6.153413772583008,3,307
51191,40,1,6.292054653167725,4,242
67587,35,1,5.722768306732178,3,350
50569,35,1,6.292054653167725,3,181
73035,35,1,6.292054653167725,3,363
82973,25,1,5.974677085876465,1,167
87164,30,1,5.292153835296631,2,191
11573,50,1,5.292153835296631,4,287
15511,30,1,5.722768306732178,2,258
20223,35,1,6.292054653167725,3,160
18464,25,1,5.292153835296631,1,336
51194,35,1,6.292054653167725,3,335
21043,30,1,5.974677085876465,2,349
81789,30,1,6.153413772583008,2,258
58706,30,1,6.153413772583008,2,354
4945,40,1,5.974677085876465,4,160
82434,30,1,6.153413772583008,2,294
19986,30,1,5.292153835296631,2,220
45271,30,1,5.974677085876465,2,272
35903,35,1,6.292054653167725,3,359
61689,45,1,5.292153835296631,4,306
32710,35,2,5.974677085876465,3,288
61210,25,1,5.974677085876465,1,305
69936,30,2,6.292054653167725,2,215
68082,30,1,6.153413772583008,2,336
26666,35,1,5.722768306732178,3,289
18819,35,1,5.722768306732178,3,224
57594,35,2,6.292054653167725,3,159
52926,40,1,5.722768306732178,4,329
43267,25,1,6.153413772583008,1,163
58647,30,1,6.292054653167725,2,224
37485,35,1,5.292153835296631,3,196
87226,45,1,6.292054653167725,4,298
37702,35,1,5.974677085876465,3,193
44449,40,2,5.722768306732178,4,288
31503,35,2,6.292054653167725,3,196
72815,30,1,6.153413772583008,2,223
13716,40,1,6.292054653167725,4,348
50116,30,1,6.292054653167725,2,230
45987,40,1,6.292054653167725,4,358
33464,30,2,6.292054653167725,2,163
73258,30,2,6.292054653167725,2,307
63730,25,1,5.722768306732178,1,219
45679,35,1,6.292054653167725,3,336
60542,25,1,5.974677085876465,1,193
90767,30,1,5.722768306732178,2,167
85953,25,1,5.722768306732178,1,256
62009,40,2,6.292054653167725,4,164
88576,40,2,5.974677085876465,4,317
38006,30,1,5.292153835296631,2,201
14916,30,1,5.292153835296631,2,207
215,40,1,5.722768306732178,4,265
16112,40,1,6.292054653167725,4,308
70505,25,2,5.722768306732178,1,224
46958,35,1,5.974677085876465,3,298
9475,30,2,6.292054653167725,2,167
50922,35,2,6.292054653167725,3,166
52832,25,1,6.153413772583008,1,263
70756,25,1,5.292153835296631,1,157
86376,35,1,5.722768306732178,3,335
48705,50,1,6.292054653167725,4,224
40924,30,1,6.153413772583008,2,180
14389,30,1,5.292153835296631,2,196
57124,35,1,5.292153835296631,3,261
75479,40,1,5.974677085876465,4,162
16966,45,2,5.974677085876465,4,335
54672,30,1,5.722768306732178,2,349
15608,25,1,5.974677085876465,1,163
66681,30,2,5.974677085876465,2,336
37377,25,1,6.153413772583008,1,203
17852,35,1,6.292054653167725,3,335
63855,30,1,5.722768306732178,2,218
12103,30,1,5.722768306732178,2,333
88142,35,1,6.292054653167725,3,154
75924,35,1,6.292054653167725,3,208
39453,30,2,5.292153835296631,2,166
46931,30,1,6.292054653167725,2,230
7256,35,1,6.292054653167725,3,306
73767,35,1,5.974677085876465,3,167
19486,35,1,5.292153835296631,3,307
38835,25,1,5.292153835296631,1,162
67321,35,2,5.722768306732178,3,288
90673,35,1,5.292153835296631,3,211
42178,30,1,6.292054653167725,2,154
84878,25,1,5.292153835296631,1,194
13663,30,1,5.974677085876465,2,263
21991,40,1,6.292054653167725,4,329
61770,25,1,5.292153835296631,1,194
22308,30,1,6.153413772583008,2,280
45365,25,1,5.292153835296631,1,193
58088,25,2,5.974677085876465,1,300
8797,25,1,6.153413772583008,1,171
28664,35,1,6.292054653167725,3,218
18447,40,1,6.292054653167725,4,349
13800,25,1,6.292054653167725,1,218
83157,25,2,5.722768306732178,1,230
37283,30,1,5.974677085876465,2,349
66528,30,2,6.292054653167725,2,204
71196,25,1,5.974677085876465,1,257
29120,25,1,5.292153835296631,1,177
53138,35,1,6.292054653167725,3,360
73447,30,2,5.292153835296631,2,254
85897,30,1,5.722768306732178,2,308
76219,35,1,6.292054653167725,3,246
77018,25,1,6.292054653167725,1,230
27435,35,1,5.292153835296631,3,263
10505,35,1,5.292153835296631,3,214
37511,30,1,5.292153835296631,2,257
29637,30,1,6.292054653167725,2,167
87114,30,1,5.722768306732178,2,211
16149,35,2,5.974677085876465,3,336
21524,35,1,6.292054653167725,3,288
53781,50,2,5.974677085876465,4,332
7152,40,1,5.974677085876465,4,338
15507,30,1,5.974677085876465,2,329
45900,45,1,6.153413772583008,4,258
52618,35,1,5.292153835296631,3,260
17310,30,1,5.974677085876465,2,335
54176,35,1,6.153413772583008,3,226
24387,30,2,6.292054653167725,2,223
32032,25,1,5.974677085876465,1,308
35500,40,2,6.292054653167725,4,167
12036,35,1,5.974677085876465,3,259
75544,25,2,5.292153835296631,1,211
80796,35,2,5.974677085876465,3,322
65737,25,1,6.292054653167725,1,168
34296,25,1,5.292153835296631,1,308
33155,35,1,5.974677085876465,3,233
69860,25,1,5.722768306732178,1,350
67783,40,1,6.292054653167725,4,363
43426,35,1,5.292153835296631,3,191
36562,35,1,6.153413772583008,3,212
23694,25,1,5.292153835296631,1,180
76734,35,1,5.722768306732178,3,302
70759,35,1,5.722768306732178,3,334
68358,35,1,6.292054653167725,3,293
69919,50,1,5.292153835296631,4,190
25928,35,1,6.153413772583008,3,298
54647,40,1,5.722768306732178,4,349
42865,25,1,5.974677085876465,1,293
50650,25,1,5.974677085876465,1,297
47978,45,1,5.974677085876465,4,364
85445,25,1,5.292153835296631,1,217
69663,40,1,6.292054653167725,4,246
44242,25,2,6.153413772583008,1,217
73637,30,1,6.292054653167725,2,343
52932,40,1,6.153413772583008,4,295
53062,30,1,5.722768306732178,2,349
47387,35,1,6.292054653167725,3,349
18520,35,1,5.974677085876465,3,153
80220,35,1,6.292054653167725,3,274
86622,30,1,5.722768306732178,2,193
37128,35,1,5.974677085876465,3,291
68370,50,1,6.292054653167725,4,247
21115,35,1,6.292054653167725,3,280
66965,30,1,5.974677085876465,2,212
24277,30,1,5.722768306732178,2,307
77283,50,1,6.153413772583008,4,168
57880,40,1,6.153413772583008,4,330
40244,30,1,5.974677085876465,2,288
46636,50,1,5.722768306732178,4,229
66765,35,1,5.974677085876465,3,253
3980,40,1,5.974677085876465,4,260
89209,40,1,6.153413772583008,4,207
49425,35,1,5.292153835296631,3,195
26778,40,1,5.722768306732178,4,307
33646,40,1,5.974677085876465,4,291
82071,50,1,6.292054653167725,4,185
651,25,1,6.292054653167725,1,229
12674,30,1,5.292153835296631,2,259
90722,35,1,6.292054653167725,3,318
61186,35,1,6.292054653167725,3,209
11295,30,1,6.292054653167725,2,155
22511,45,1,5.974677085876465,4,288
71307,35,1,5.292153835296631,3,187
58287,30,1,5.292153835296631,2,224
47427,30,1,5.974677085876465,2,244
87186,35,1,6.292054653167725,3,335
80014,35,1,5.974677085876465,3,173
40164,45,1,6.292054653167725,4,164
69244,25,1,6.153413772583008,1,211
73980,35,1,5.292153835296631,3,212
85844,25,1,6.153413772583008,1,195
3405,35,1,5.292153835296631,3,299
51602,35,1,5.292153835296631,3,183
86240,35,1,6.153413772583008,3,189
78923,30,1,5.722768306732178,2,181
14632,30,2,5.292153835296631,2,200
22949,35,1,6.153413772583008,3,346
80532,40,1,6.292054653167725,4,320
8738,25,1,5.292153835296631,1,188
90652,35,1,5.292153835296631,3,180
33100,40,1,5.292153835296631,4,257
4563,30,2,6.153413772583008,2,340
49254,25,1,5.292153835296631,1,188
37689,35,1,6.292054653167725,3,214
48942,25,1,5.722768306732178,1,224
36177,50,1,6.292054653167725,4,344
89525,30,1,6.292054653167725,2,165
67277,35,1,5.722768306732178,3,188
54330,35,1,5.292153835296631,3,183
17134,30,1,6.292054653167725,2,361
64879,35,2,5.722768306732178,3,252
45292,30,1,6.153413772583008,2,307
69456,35,1,6.153413772583008,3,221
87594,35,1,5.974677085876465,3,213
21125,30,2,5.974677085876465,2,188
12953,40,1,6.153413772583008,4,218
57550,25,1,5.722768306732178,1,288
89165,30,2,5.292153835296631,2,166
87107,30,1,6.153413772583008,2,164
40291,40,1,6.292054653167725,4,361
18196,35,1,5.974677085876465,3,337
5474,40,1,5.974677085876465,4,292
22015,40,1,6.292054653167725,4,175
49850,30,1,5.974677085876465,2,275
15564,35,1,6.153413772583008,3,287
41162,35,1,6.292054653167725,3,260
22338,30,2,6.153413772583008,2,167
50298,30,1,5.292153835296631,2,300
14979,25,1,5.292153835296631,1,164
87488,30,1,5.722768306732178,2,223
12972,30,1,6.292054653167725,2,288
12110,35,1,5.722768306732178,3,229
12419,30,2,6.153413772583008,2,339
20281,30,1,6.292054653167725,2,253
2838,45,1,6.292054653167725,4,223
71711,40,1,6.292054653167725,4,355
49292,35,1,6.292054653167725,3,349
55141,35,2,6.153413772583008,3,288
6904,35,1,5.722768306732178,3,336
5685,30,1,5.974677085876465,2,192
81079,45,1,5.974677085876465,4,224
3665,30,1,5.974677085876465,2,279
27553,25,1,5.722768306732178,1,330
43800,35,1,6.292054653167725,3,347
2202,30,2,6.292054653167725,2,347
9379,25,1,5.292153835296631,1,288
25079,35,1,5.292153835296631,3,168
81713,30,2,6.292054653167725,2,350
54936,30,1,6.153413772583008,2,252
6027,30,2,6.153413772583008,2,246
87477,35,1,6.292054653167725,3,162
39590,35,1,6.292054653167725,3,292
86037,35,1,5.974677085876465,3,288
88939,30,1,5.722768306732178,2,333
57408,35,1,6.292054653167725,3,213
25698,45,1,6.153413772583008,4,287
50065,45,1,6.292054653167725,4,222
61960,35,1,6.292054653167725,3,288
65985,35,1,5.974677085876465,3,230
4827,30,1,6.292054653167725,2,176
84146,40,1,6.153413772583008,4,266
36555,45,1,5.292153835296631,4,249
64042,35,1,6.153413772583008,3,346
85301,35,1,6.292054653167725,3,190
56161,35,1,5.292153835296631,3,257
8061,30,1,5.292153835296631,2,254
83657,30,1,5.292153835296631,2,197
37617,35,1,5.974677085876465,3,302
90275,25,1,6.292054653167725,1,204
82275,40,1,5.974677085876465,4,301
32220,45,1,5.974677085876465,4,221
40569,40,1,6.292054653167725,4,155
5992,35,1,5.974677085876465,3,220
41668,30,1,5.974677085876465,2,356
850,30,1,6.292054653167725,2,231
15,30,1,5.722768306732178,2,296
69621,35,1,5.974677085876465,3,176
90365,30,1,5.974677085876465,2,251
85890,45,1,5.974677085876465,4,300
75506,35,1,6.153413772583008,3,356
597,50,1,5.974677085876465,4,298
40037,25,1,5.292153835296631,1,292
59236,30,1,5.292153835296631,2,203
18387,45,2,5.292153835296631,4,167
67455,35,1,5.974677085876465,3,292
71692,40,1,5.974677085876465,4,303
55596,30,1,6.292054653167725,2,195
21473,35,1,5.292153835296631,3,279
26017,40,1,6.292054653167725,4,229
27087,35,1,5.974677085876465,3,282
19179,30,1,5.292153835296631,2,338
69516,35,1,5.974677085876465,3,333
24348,40,1,5.722768306732178,4,249
28467,40,1,6.292054653167725,4,349
43748,25,1,5.292153835296631,1,170
2428,30,1,5.292153835296631,2,260
29593,30,1,5.974677085876465,2,165
20098,40,1,5.974677085876465,4,307
17933,40,1,5.722768306732178,4,278
75959,25,1,6.153413772583008,1,364
37049,35,1,6.292054653167725,3,307
21771,25,1,5.292153835296631,1,237
55255,35,1,6.292054653167725,3,166
31628,30,1,5.722768306732178,2,257
50325,35,1,5.722768306732178,3,227
62298,40,1,6.292054653167725,4,210
24003,30,1,5.974677085876465,2,318
68658,35,1,5.292153835296631,3,348
74929,25,1,5.722768306732178,1,217
16602,35,2,6.292054653167725,3,161
46832,35,1,6.292054653167725,3,203
86073,25,1,5.722768306732178,1,307
60419,30,1,5.292153835296631,2,246
8379,40,1,5.292153835296631,4,246
31392,40,1,6.292054653167725,4,229
20113,35,1,5.974677085876465,3,245
18770,30,1,5.722768306732178,2,273
64279,30,1,6.292054653167725,2,223
65345,25,2,5.292153835296631,1,197
33028,30,1,5.974677085876465,2,163
64322,30,1,5.722768306732178,2,299
2682,35,2,5.722768306732178,3,262
20585,30,1,5.292153835296631,2,252
22568,30,1,6.153413772583008,2,217
18960,30,1,5.974677085876465,2,252
9529,30,1,6.153413772583008,2,184
1082,35,2,6.153413772583008,3,162
8375,30,2,5.292153835296631,2,306
88778,30,1,6.292054653167725,2,211
19211,45,1,5.292153835296631,4,261
86345,40,1,6.153413772583008,4,183
32532,35,1,5.292153835296631,3,340
12295,25,1,5.974677085876465,1,335
42224,40,2,5.292153835296631,4,167
83532,35,1,5.292153835296631,3,207
88448,30,1,5.974677085876465,2,295
19032,30,1,5.292153835296631,2,307
85971,30,1,5.722768306732178,2,216
78352,30,1,5.292153835296631,2,252
56391,45,1,5.974677085876465,4,164
87491,35,1,5.974677085876465,3,347
57311,35,1,5.292153835296631,3,190
72650,35,1,6.292054653167725,3,315
46104,30,2,5.292153835296631,2,307
32425,30,2,6.292054653167725,2,207
35972,45,1,6.292054653167725,4,263
32261,25,2,6.153413772583008,1,315
71118,25,1,5.722768306732178,1,263
14893,25,1,5.292153835296631,1,258
85177,40,1,5.722768306732178,4,337
80392,30,1,6.153413772583008,2,167
24864,25,1,5.974677085876465,1,154
67967,30,2,5.292153835296631,2,177
52004,30,2,6.292054653167725,2,195
84277,45,1,5.292153835296631,4,294
19289,40,1,5.722768306732178,4,265
73995,30,1,5.722768306732178,2,246
80873,30,1,5.292153835296631,2,261
15014,25,1,6.153413772583008,1,221
48421,30,1,5.974677085876465,2,217
32,30,1,5.974677085876465,2,177
3705,30,1,5.974677085876465,2,167
87409,30,1,5.974677085876465,2,184
77839,35,1,5.722768306732178,3,287
57509,30,1,5.974677085876465,2,349
62718,25,1,5.292153835296631,1,200
59002,30,1,5.722768306732178,2,262
63709,30,1,6.292054653167725,2,199
57151,30,1,6.292054653167725,2,155
72332,35,1,5.722768306732178,3,336
49904,30,2,6.292054653167725,2,162
23658,35,1,5.722768306732178,3,246
13797,30,1,6.153413772583008,2,349
21207,30,1,6.153413772583008,2,259
60423,35,1,6.292054653167725,3,335
1468,35,1,6.153413772583008,3,349
81916,25,2,6.153413772583008,1,340
2080,35,1,6.292054653167725,3,350
72128,25,2,6.292054653167725,1,288
86418,30,1,5.722768306732178,2,210
85939,30,1,5.974677085876465,2,265
27933,25,1,5.974677085876465,1,258
75619,30,1,5.974677085876465,2,307
25537,45,2,5.974677085876465,4,166
4948,25,1,5.722768306732178,1,225
61896,25,1,6.292054653167725,1,285
57621,40,1,6.153413772583008,4,179
70666,30,1,5.722768306732178,2,165
70408,30,1,5.974677085876465,2,224
39007,40,1,6.153413772583008,4,179
89854,25,1,5.292153835296631,1,187
7212,30,1,5.292153835296631,2,193
49022,40,1,6.292054653167725,4,165
5321,45,1,5.974677085876465,4,241
51662,25,1,5.974677085876465,1,190
19694,30,1,5.722768306732178,2,334
70025,25,1,5.722768306732178,1,288
306,45,1,6.153413772583008,4,174
55837,30,1,5.974677085876465,2,301
13046,30,1,6.153413772583008,2,181
83902,25,1,6.153413772583008,1,298
11799,35,1,6.292054653167725,3,307
68356,30,1,6.292054653167725,2,222
89082,35,1,5.292153835296631,3,222
65546,35,1,6.292054653167725,3,286
68225,30,1,5.974677085876465,2,225
15031,45,1,6.292054653167725,4,287
61583,25,1,6.292054653167725,1,294
27257,35,1,6.153413772583008,3,296
42820,40,1,6.153413772583008,4,292
56711,30,1,6.292054653167725,2,190
40150,35,1,6.292054653167725,3,223
6742,25,1,5.292153835296631,1,169
42541,40,1,5.974677085876465,4,348
79354,30,1,6.153413772583008,2,295
61688,35,1,6.292054653167725,3,172
70080,40,1,5.292153835296631,4,256
15586,40,1,5.974677085876465,4,317
21240,35,1,5.974677085876465,3,201
9058,30,1,5.722768306732178,2,202
7503,35,1,6.292054653167725,3,190
70180,30,1,6.292054653167725,2,156
88818,30,1,5.722768306732178,2,307
75,30,1,6.153413772583008,2,165
42302,30,1,6.292054653167725,2,284
32233,30,1,5.722768306732178,2,193
85252,45,1,6.153413772583008,4,260
18401,50,1,5.292153835296631,4,199
79505,40,2,5.292153835296631,4,251
63322,25,1,5.292153835296631,1,176
53441,50,1,6.292054653167725,4,304
45137,25,1,5.292153835296631,1,216
41432,25,1,6.292054653167725,1,231
84529,25,1,6.153413772583008,1,194
10518,30,1,5.974677085876465,2,184
60977,25,1,5.722768306732178,1,345
78201,35,1,5.292153835296631,3,217
70222,35,1,5.722768306732178,3,246
10728,30,1,6.153413772583008,2,308
85280,30,2,6.153413772583008,2,183
55280,25,1,5.292153835296631,1,171
19576,35,1,6.153413772583008,3,308
82205,25,1,5.722768306732178,1,363
38677,25,2,5.292153835296631,1,245
60121,35,1,5.722768306732178,3,220
19159,30,1,5.292153835296631,2,224
52649,40,2,5.292153835296631,4,167
39096,25,1,5.974677085876465,1,230
11189,40,1,5.974677085876465,4,326
20689,30,2,6.292054653167725,2,222
82348,30,1,5.292153835296631,2,364
22668,40,1,6.292054653167725,4,287
67700,35,1,5.974677085876465,3,188
16843,25,1,5.722768306732178,1,210
15833,30,1,5.722768306732178,2,225
21216,30,1,6.292054653167725,2,339
74934,25,2,6.292054653167725,1,282
17283,40,1,5.974677085876465,4,307
4221,35,1,6.292054653167725,3,307
70970,25,1,5.974677085876465,1,166
62653,30,1,5.722768306732178,2,231
18891,30,1,5.974677085876465,2,296
37724,35,1,5.722768306732178,3,178
70696,30,1,6.153413772583008,2,229
60054,30,1,5.722768306732178,2,168
23902,30,2,6.153413772583008,2,210
82174,30,2,5.292153835296631,2,307
63843,40,1,6.292054653167725,4,244
75534,35,1,6.292054653167725,3,348
71587,35,1,5.974677085876465,3,274
39443,30,1,6.292054653167725,2,160
28102,35,1,5.722768306732178,3,287
73061,30,1,5.974677085876465,2,307
80281,30,1,5.974677085876465,2,330
20347,35,1,5.292153835296631,3,245
71158,30,1,5.292153835296631,2,330
3339,40,1,5.722768306732178,4,246
56966,25,1,5.292153835296631,1,211
9842,35,1,5.974677085876465,3,162
71190,25,1,5.292153835296631,1,249
26633,35,1,6.153413772583008,3,306
41894,30,2,5.722768306732178,2,287
41913,30,1,5.974677085876465,2,225
14237,35,1,6.292054653167725,3,299
51809,30,1,5.722768306732178,2,329
15938,30,1,6.292054653167725,2,229
22948,35,1,5.974677085876465,3,337
31969,30,1,6.292054653167725,2,211
14654,25,1,5.292153835296631,1,330
88151,40,1,5.974677085876465,4,307
56433,30,1,6.153413772583008,2,300
39988,40,1,6.292054653167725,4,193
61700,45,1,5.292153835296631,4,253
80805,40,1,6.292054653167725,4,349
51399,45,1,6.292054653167725,4,164
73591,35,2,6.292054653167725,3,302
48399,30,1,6.292054653167725,2,223
33775,40,1,6.153413772583008,4,308
56730,30,1,6.153413772583008,2,349
69945,35,2,6.153413772583008,3,209
1432,35,1,6.292054653167725,3,339
86807,35,1,5.722768306732178,3,337
65729,30,2,6.153413772583008,2,165
87444,35,1,5.292153835296631,3,246
38143,25,1,5.974677085876465,1,252
63575,30,1,6.292054653167725,2,283
61485,30,1,5.722768306732178,2,287
19823,25,1,5.292153835296631,1,166
86094,30,1,5.722768306732178,2,231
77527,30,1,5.722768306732178,2,203
48465,30,1,6.153413772583008,2,224
49810,30,1,6.292054653167725,2,229
38309,35,2,5.292153835296631,3,253
58568,50,1,5.974677085876465,4,294
71592,30,1,5.292153835296631,2,193
14615,40,1,5.974677085876465,4,288
63767,50,1,5.974677085876465,4,242
69496,30,1,5.722768306732178,2,302
64399,30,1,5.292153835296631,2,250
57378,35,1,5.974677085876465,3,334
86729,35,1,6.153413772583008,3,345
88087,50,1,5.722768306732178,4,200
53346,45,1,5.722768306732178,4,166
14834,35,1,5.974677085876465,3,300
78257,50,1,6.292054653167725,4,344
64822,35,1,6.292054653167725,3,289
68810,40,1,6.292054653167725,4,364
68556,25,1,6.292054653167725,1,286
83119,30,2,5.722768306732178,2,218
18782,30,1,5.974677085876465,2,337
20609,35,1,6.292054653167725,3,303
10513,30,2,5.722768306732178,2,335
85810,25,1,5.292153835296631,1,159
